Marker 1.0,Marker 7.0,Time (s)
4.384615384615385,206.0,1.2351999999997538
-22.76923076923077,181.0,1.2352999999997536
-14.384615384615385,50.0,1.2353999999997538
-9.0,-9.0,1.235499999999754
-30.076923076923077,56.0,1.2355999999997538
-41.07692307692308,83.0,1.2356999999997536
-25.53846153846154,56.0,1.2357999999997538
-3.0,7.0,1.235899999999754
17.76923076923077,-80.0,1.2359999999997537
32.69230769230769,-146.0,1.2360999999997535
32.61538461538461,-141.0,1.2361999999997537
22.076923076923077,-90.0,1.236299999999754
16.615384615384617,-31.0,1.2363999999997537
13.615384615384615,21.0,1.2364999999997535
10.76923076923077,35.0,1.2365999999997537
21.307692307692307,-9.0,1.2366999999997539
29.076923076923077,-66.0,1.2367999999997537
7.846153846153846,-74.0,1.2368999999997534
-28.46153846153846,-61.0,1.2369999999997536
-53.38461538461539,-45.0,1.2370999999997538
-57.0,-3.0,1.2371999999997536
-42.0,50.0,1.2372999999997534
-12.0,90.0,1.2373999999997536
15.846153846153847,143.0,1.2374999999997538
30.23076923076923,217.0,1.2375999999997536
34.69230769230769,188.0,1.2376999999997533
11.384615384615385,69.0,1.2377999999997535
-24.692307692307693,34.0,1.2378999999997538
-28.307692307692307,106.0,1.2379999999997535
-10.307692307692308,145.0,1.2380999999997533
-11.076923076923077,102.0,1.2381999999997535
-37.23076923076923,56.0,1.2382999999997537
-54.61538461538461,17.0,1.2383999999997535
-32.07692307692308,29.0,1.2384999999997532
4.769230769230769,82.0,1.2385999999997535
21.615384615384617,65.0,1.2386999999997537
20.692307692307693,20.0,1.2387999999997534
16.615384615384617,-2.0,1.2388999999997532
6.6923076923076925,-55.0,1.2389999999997534
-6.538461538461538,-151.0,1.2390999999997536
-6.153846153846154,-228.0,1.2391999999997534
7.538461538461538,-259.0,1.2392999999997532
14.461538461538462,-222.0,1.2393999999997534
-2.769230769230769,-117.0,1.2394999999997536
-24.076923076923077,-45.0,1.2395999999997533
-12.0,-22.0,1.239699999999753
23.076923076923077,-13.0,1.2397999999997533
38.23076923076923,-25.0,1.2398999999997535
23.46153846153846,-58.0,1.2399999999997533
3.4615384615384617,-100.0,1.240099999999753
-1.5384615384615385,-74.0,1.2401999999997533
3.6923076923076925,6.0,1.2402999999997535
11.615384615384615,49.0,1.2403999999997533
2.923076923076923,65.0,1.240499999999753
-20.153846153846153,39.0,1.2405999999997532
-25.53846153846154,-24.0,1.2406999999997534
-23.923076923076923,-7.0,1.2407999999997532
-36.23076923076923,59.0,1.240899999999753
-40.53846153846154,82.0,1.2409999999997532
-24.307692307692307,95.0,1.2410999999997534
4.769230769230769,99.0,1.2411999999997532
31.076923076923077,40.0,1.241299999999753
40.38461538461539,-46.0,1.2413999999997531
34.61538461538461,-49.0,1.2414999999997534
15.307692307692308,14.0,1.2415999999997531
-5.6923076923076925,6.0,1.241699999999753
-7.230769230769231,-92.0,1.241799999999753
7.384615384615385,-188.0,1.2418999999997533
30.0,-203.0,1.241999999999753
55.76923076923077,-153.0,1.2420999999997528
59.69230769230769,-64.0,1.242199999999753
38.53846153846154,60.0,1.2422999999997533
13.76923076923077,165.0,1.242399999999753
-10.692307692307692,213.0,1.2424999999997528
-24.46153846153846,212.0,1.242599999999753
-13.461538461538462,158.0,1.2426999999997532
1.3846153846153846,51.0,1.242799999999753
-7.846153846153846,-62.0,1.2428999999997528
-27.923076923076923,-127.0,1.242999999999753
-28.23076923076923,-146.0,1.2430999999997532
-12.23076923076923,-118.0,1.243199999999753
-0.3076923076923077,-43.0,1.2432999999997527
-1.3076923076923077,42.0,1.243399999999753
0.3076923076923077,145.0,1.2434999999997531
22.615384615384617,208.0,1.243599999999753
51.76923076923077,127.0,1.2436999999997527
62.84615384615385,-34.0,1.2437999999997529
53.07692307692308,-131.0,1.243899999999753
33.0,-89.0,1.2439999999997529
8.461538461538462,40.0,1.2440999999997526
-13.153846153846153,65.0,1.2441999999997528
-29.76923076923077,-88.0,1.244299999999753
-35.76923076923077,-235.0,1.2443999999997528
-37.53846153846154,-257.0,1.2444999999997526
-47.76923076923077,-192.0,1.2445999999997528
-43.30769230769231,-64.0,1.244699999999753
-15.615384615384615,82.0,1.2447999999997528
-2.4615384615384617,131.0,1.2448999999997525
-13.153846153846153,65.0,1.2449999999997527
-22.923076923076923,0.0,1.245099999999753
-41.69230769230769,44.0,1.2451999999997527
-73.3076923076923,128.0,1.2452999999997525
-80.46153846153847,109.0,1.2453999999997527
-48.76923076923077,93.0,1.245499999999753
-4.384615384615385,172.0,1.2455999999997527
25.615384615384617,160.0,1.2456999999997524
39.15384615384615,26.0,1.2457999999997527
42.30769230769231,-73.0,1.2458999999997529
42.38461538461539,-113.0,1.2459999999997526
56.92307692307692,-129.0,1.2460999999997524
70.61538461538461,-119.0,1.2461999999997526
51.38461538461539,-116.0,1.2462999999997528
14.23076923076923,-101.0,1.2463999999997526
-16.76923076923077,32.0,1.2464999999997524
-31.23076923076923,205.0,1.2465999999997526
-24.76923076923077,247.0,1.2466999999997528
-13.846153846153847,165.0,1.2467999999997526
-8.153846153846153,64.0,1.2468999999997523
3.4615384615384617,1.0,1.2469999999997525
22.692307692307693,-21.0,1.2470999999997527
30.307692307692307,-21.0,1.2471999999997525
